numerator,denominator,apc,se,n_obs,design,spending_category,spend_category_unemp,spend_category_emp
Spend (cardcash),income,0.02,0.005,249652,$300 onset,on_us_creditcard_pmts,569.5456388381623,418.73877719335155
Spend (cardcash),ui,0.029,0.008,249652,$300 onset,on_us_creditcard_pmts,569.5456388381623,418.73877719335155
Spend (total),income,0.269,0.016,129293,$300 expiration Sept states,on_us_creditcard_pmts,672.5430324621738,462.9603109751657
Spend (total),ui,0.357,0.022,129293,$300 expiration Sept states,on_us_creditcard_pmts,672.5430324621738,462.9603109751657
Spend (cardcash),income,0.031,0.005,129293,$300 expiration Sept states,on_us_creditcard_pmts,672.5430324621738,462.9603109751657
Spend (cardcash),ui,0.04,0.007,129293,$300 expiration Sept states,on_us_creditcard_pmts,672.5430324621738,462.9603109751657
Spend (total),income,0.348,0.028,121994,$300 expiration June states,on_us_creditcard_pmts,560.70445087089,395.8055350590102
Spend (total),ui,0.317,0.027,121994,$300 expiration June states,on_us_creditcard_pmts,560.70445087089,395.8055350590102
Spend (cardcash),income,0.001,0.008,121994,$300 expiration June states,on_us_creditcard_pmts,560.70445087089,395.8055350590102
Spend (cardcash),ui,0.001,0.007,121994,$300 expiration June states,on_us_creditcard_pmts,560.70445087089,395.8055350590102
Spend (total),income,0.402,0.04,47623,$300 expiration June vs. Sept states,on_us_creditcard_pmts,494.51023357106067,395.8055350590102
Spend (total),ui,0.224,0.023,47623,$300 expiration June vs. Sept states,on_us_creditcard_pmts,494.51023357106067,395.8055350590102
Spend (cardcash),income,0.006,0.011,47623,$300 expiration June vs. Sept states,on_us_creditcard_pmts,494.51023357106067,395.8055350590102
Spend (cardcash),ui,0.003,0.006,47623,$300 expiration June vs. Sept states,on_us_creditcard_pmts,494.51023357106067,395.8055350590102
Spend (total),income,0.43,0.016,52094,UI onset (waiting),off_us_creditcard_pmts,325.6417079391797,405.25853609217023
Spend (total),ui,0.312,0.012,52094,UI onset (waiting),off_us_creditcard_pmts,325.6417079391797,405.25853609217023
Spend (cardcash),income,0.036,0.004,52094,UI onset (waiting),off_us_creditcard_pmts,325.6417079391797,405.25853609217023
Spend (cardcash),ui,0.026,0.003,52094,UI onset (waiting),off_us_creditcard_pmts,325.6417079391797,405.25853609217023
Spend (total),income,0.319,0.009,309077,FPUC expiration,off_us_creditcard_pmts,413.60599620049345,419.7589745494351
Spend (total),ui,0.225,0.006,309077,FPUC expiration,off_us_creditcard_pmts,413.60599620049345,419.7589745494351
Spend (cardcash),income,0.037,0.002,309077,FPUC expiration,off_us_creditcard_pmts,413.60599620049345,419.7589745494351
Spend (cardcash),ui,0.026,0.001,309077,FPUC expiration,off_us_creditcard_pmts,413.60599620049345,419.7589745494351
Spend (total),income,0.305,0.017,249652,$300 onset,off_us_creditcard_pmts,461.16498210572706,430.3674904270987
Spend (total),ui,0.457,0.026,249652,$300 onset,off_us_creditcard_pmts,461.16498210572706,430.3674904270987
Spend (cardcash),income,0.02,0.004,249652,$300 onset,off_us_creditcard_pmts,461.16498210572706,430.3674904270987
Spend (cardcash),ui,0.03,0.006,249652,$300 onset,off_us_creditcard_pmts,461.16498210572706,430.3674904270987
Spend (total),income,0.269,0.016,129293,$300 expiration Sept states,off_us_creditcard_pmts,512.6833477816256,502.47351248998615
Spend (total),ui,0.357,0.022,129293,$300 expiration Sept states,off_us_creditcard_pmts,512.6833477816256,502.47351248998615
Spend (cardcash),income,0.018,0.004,129293,$300 expiration Sept states,off_us_creditcard_pmts,512.6833477816256,502.47351248998615
Spend (cardcash),ui,0.023,0.005,129293,$300 expiration Sept states,off_us_creditcard_pmts,512.6833477816256,502.47351248998615
Spend (total),income,0.348,0.028,121994,$300 expiration June states,off_us_creditcard_pmts,491.3206663271673,419.4759466428642
Spend (total),ui,0.317,0.027,121994,$300 expiration June states,off_us_creditcard_pmts,491.3206663271673,419.4759466428642
Spend (cardcash),income,0.029,0.007,121994,$300 expiration June states,off_us_creditcard_pmts,491.3206663271673,419.4759466428642
Spend (cardcash),ui,0.027,0.006,121994,$300 expiration June states,off_us_creditcard_pmts,491.3206663271673,419.4759466428642
Spend (total),income,0.402,0.04,47623,$300 expiration June vs. Sept states,off_us_creditcard_pmts,523.5934584837445,419.4759466428642
Spend (total),ui,0.224,0.023,47623,$300 expiration June vs. Sept states,off_us_creditcard_pmts,523.5934584837445,419.4759466428642
Spend (cardcash),income,0.018,0.01,47623,$300 expiration June vs. Sept states,off_us_creditcard_pmts,523.5934584837445,419.4759466428642
Spend (cardcash),ui,0.01,0.005,47623,$300 expiration June vs. Sept states,off_us_creditcard_pmts,523.5934584837445,419.4759466428642
Spend (total),income,0.43,0.016,52094,UI onset (waiting),mortgage_pmts,205.55028611458457,265.5616553021396
Spend (total),ui,0.312,0.012,52094,UI onset (waiting),mortgage_pmts,205.55028611458457,265.5616553021396
Spend (cardcash),income,-0,0.003,52094,UI onset (waiting),mortgage_pmts,205.55028611458457,265.5616553021396
Spend (cardcash),ui,-0,0.002,52094,UI onset (waiting),mortgage_pmts,205.55028611458457,265.5616553021396
Spend (total),income,0.319,0.009,309077,FPUC expiration,mortgage_pmts,273.8235915885154,264.1115880214238
Spend (total),ui,0.225,0.006,309077,FPUC expiration,mortgage_pmts,273.8235915885154,264.1115880214238
Spend (cardcash),income,0.005,0.001,309077,FPUC expiration,mortgage_pmts,273.8235915885154,264.1115880214238
Spend (cardcash),ui,0.003,0.001,309077,FPUC expiration,mortgage_pmts,273.8235915885154,264.1115880214238
Spend (total),income,0.305,0.017,249652,$300 onset,mortgage_pmts,304.28473378566014,257.4360399747528
Spend (total),ui,0.457,0.026,249652,$300 onset,mortgage_pmts,304.28473378566014,257.4360399747528
Spend (cardcash),income,-0.003,0.003,249652,$300 onset,mortgage_pmts,304.28473378566014,257.4360399747528
Spend (cardcash),ui,-0.005,0.004,249652,$300 onset,mortgage_pmts,304.28473378566014,257.4360399747528
Spend (total),income,0.269,0.016,129293,$300 expiration Sept states,mortgage_pmts,352.4375140333633,322.8418796882965
Spend (total),ui,0.357,0.022,129293,$300 expiration Sept states,mortgage_pmts,352.4375140333633,322.8418796882965
Spend (cardcash),income,0.01,0.003,129293,$300 expiration Sept states,mortgage_pmts,352.4375140333633,322.8418796882965
Spend (cardcash),ui,0.013,0.004,129293,$300 expiration Sept states,mortgage_pmts,352.4375140333633,322.8418796882965
Spend (total),income,0.348,0.028,121994,$300 expiration June states,mortgage_pmts,284.9741960635741,303.67551819894874
Spend (total),ui,0.317,0.027,121994,$300 expiration June states,mortgage_pmts,284.9741960635741,303.67551819894874
Spend (cardcash),income,0.005,0.004,121994,$300 expiration June states,mortgage_pmts,284.9741960635741,303.67551819894874
Spend (cardcash),ui,0.004,0.004,121994,$300 expiration June states,mortgage_pmts,284.9741960635741,303.67551819894874
Spend (total),income,0.402,0.04,47623,$300 expiration June vs. Sept states,mortgage_pmts,218.6887815981103,303.67551819894874
Spend (total),ui,0.224,0.023,47623,$300 expiration June vs. Sept states,mortgage_pmts,218.6887815981103,303.67551819894874
Spend (cardcash),income,0.009,0.005,47623,$300 expiration June vs. Sept states,mortgage_pmts,218.6887815981103,303.67551819894874
Spend (cardcash),ui,0.005,0.003,47623,$300 expiration June vs. Sept states,mortgage_pmts,218.6887815981103,303.67551819894874
Spend (total),income,0.43,0.016,52094,UI onset (waiting),student_loan_pmts,9.495406181331889,34.77069456853985
Spend (total),ui,0.312,0.012,52094,UI onset (waiting),student_loan_pmts,9.495406181331889,34.77069456853985
Spend (cardcash),income,0,0.001,52094,UI onset (waiting),student_loan_pmts,9.495406181331889,34.77069456853985
Spend (cardcash),ui,0,0,52094,UI onset (waiting),student_loan_pmts,9.495406181331889,34.77069456853985
Spend (total),income,0.319,0.009,309077,FPUC expiration,student_loan_pmts,17.885640843344238,27.93569321187954
Spend (total),ui,0.225,0.006,309077,FPUC expiration,student_loan_pmts,17.885640843344238,27.93569321187954
Spend (cardcash),income,0,0,309077,FPUC expiration,student_loan_pmts,17.885640843344238,27.93569321187954
Spend (cardcash),ui,0,0,309077,FPUC expiration,student_loan_pmts,17.885640843344238,27.93569321187954
Spend (total),income,0.305,0.017,249652,$300 onset,student_loan_pmts,17.643736075140946,25.578300021039347
Spend (total),ui,0.457,0.026,249652,$300 onset,student_loan_pmts,17.643736075140946,25.578300021039347
Spend (cardcash),income,-0.001,0,249652,$300 onset,student_loan_pmts,17.643736075140946,25.578300021039347
Spend (cardcash),ui,-0.001,0.001,249652,$300 onset,student_loan_pmts,17.643736075140946,25.578300021039347
Spend (total),income,0.269,0.016,129293,$300 expiration Sept states,student_loan_pmts,14.674884750999263,28.761193649406454
Spend (total),ui,0.357,0.022,129293,$300 expiration Sept states,student_loan_pmts,14.674884750999263,28.761193649406454
Spend (cardcash),income,-0,0,129293,$300 expiration Sept states,student_loan_pmts,14.674884750999263,28.761193649406454
Spend (cardcash),ui,-0,0.001,129293,$300 expiration Sept states,student_loan_pmts,14.674884750999263,28.761193649406454
Spend (total),income,0.348,0.028,121994,$300 expiration June states,student_loan_pmts,14.293235556669785,22.21991173261926
Spend (total),ui,0.317,0.027,121994,$300 expiration June states,student_loan_pmts,14.293235556669785,22.21991173261926
Spend (cardcash),income,-0,0.001,121994,$300 expiration June states,student_loan_pmts,14.293235556669785,22.21991173261926
Spend (cardcash),ui,-0,0.001,121994,$300 expiration June states,student_loan_pmts,14.293235556669785,22.21991173261926
Spend (total),income,0.402,0.04,47623,$300 expiration June vs. Sept states,student_loan_pmts,8.002127524771254,22.21991173261926
Spend (total),ui,0.224,0.023,47623,$300 expiration June vs. Sept states,student_loan_pmts,8.002127524771254,22.21991173261926
Spend (cardcash),income,-0,0.001,47623,$300 expiration June vs. Sept states,student_loan_pmts,8.002127524771254,22.21991173261926
Spend (cardcash),ui,-0,0,47623,$300 expiration June vs. Sept states,student_loan_pmts,8.002127524771254,22.21991173261926
Spend (total),income,0.43,0.016,52094,UI onset (waiting),other_loan_pmts,0.05659044911773539,0.13390971079238184
Spend (total),ui,0.312,0.012,52094,UI onset (waiting),other_loan_pmts,0.05659044911773539,0.13390971079238184
Spend (cardcash),income,0,0,52094,UI onset (waiting),other_loan_pmts,0.05659044911773539,0.13390971079238184
Spend (cardcash),ui,0,0,52094,UI onset (waiting),other_loan_pmts,0.05659044911773539,0.13390971079238184
Spend (total),income,0.319,0.009,309077,FPUC expiration,other_loan_pmts,0.6765626346744638,0.30778696717359255
Spend (total),ui,0.225,0.006,309077,FPUC expiration,other_loan_pmts,0.6765626346744638,0.30778696717359255
Spend (cardcash),income,-0,0,309077,FPUC expiration,other_loan_pmts,0.6765626346744638,0.30778696717359255
Spend (cardcash),ui,-0,0,309077,FPUC expiration,other_loan_pmts,0.6765626346744638,0.30778696717359255
Spend (total),income,0.305,0.017,249652,$300 onset,other_loan_pmts,1.049867632922982,0.1452341678939617
Spend (total),ui,0.457,0.026,249652,$300 onset,other_loan_pmts,1.049867632922982,0.1452341678939617
Spend (cardcash),income,-0,0,249652,$300 onset,other_loan_pmts,1.049867632922982,0.1452341678939617
Spend (cardcash),ui,-0,0,249652,$300 onset,other_loan_pmts,1.049867632922982,0.1452341678939617
Spend (total),income,0.269,0.016,129293,$300 expiration Sept states,other_loan_pmts,1.2097670256341804,1.2107005680576788
Spend (total),ui,0.357,0.022,129293,$300 expiration Sept states,other_loan_pmts,1.2097670256341804,1.2107005680576788
Spend (cardcash),income,-0,0,129293,$300 expiration Sept states,other_loan_pmts,1.2097670256341804,1.2107005680576788
Spend (cardcash),ui,-0,0,129293,$300 expiration Sept states,other_loan_pmts,1.2097670256341804,1.2107005680576788
Spend (total),income,0.348,0.028,121994,$300 expiration June states,other_loan_pmts,0.38801336996822516,0.5204630566299692
Spend (total),ui,0.317,0.027,121994,$300 expiration June states,other_loan_pmts,0.38801336996822516,0.5204630566299692
Spend (cardcash),income,0,0,121994,$300 expiration June states,other_loan_pmts,0.38801336996822516,0.5204630566299692
Spend (cardcash),ui,0,0,121994,$300 expiration June states,other_loan_pmts,0.38801336996822516,0.5204630566299692
Spend (total),income,0.402,0.04,47623,$300 expiration June vs. Sept states,other_loan_pmts,0.06537392759977327,0.5204630566299692
Spend (total),ui,0.224,0.023,47623,$300 expiration June vs. Sept states,other_loan_pmts,0.06537392759977327,0.5204630566299692
Spend (cardcash),income,0,0,47623,$300 expiration June vs. Sept states,other_loan_pmts,0.06537392759977327,0.5204630566299692
Spend (cardcash),ui,0,0,47623,$300 expiration June vs. Sept states,other_loan_pmts,0.06537392759977327,0.5204630566299692
Spend (total),income,0.43,0.016,52094,UI onset (waiting),auto_loan_pmts,59.28446172768552,84.08874817775688
Spend (total),ui,0.312,0.012,52094,UI onset (waiting),auto_loan_pmts,59.28446172768552,84.08874817775688
Spend (cardcash),income,0.003,0.001,52094,UI onset (waiting),auto_loan_pmts,59.28446172768552,84.08874817775688
Spend (cardcash),ui,0.002,0.001,52094,UI onset (waiting),auto_loan_pmts,59.28446172768552,84.08874817775688
Spend (total),income,0.319,0.009,309077,FPUC expiration,auto_loan_pmts,73.30046372240848,82.6503871665559
Spend (total),ui,0.225,0.006,309077,FPUC expiration,auto_loan_pmts,73.30046372240848,82.6503871665559
Spend (cardcash),income,0.001,0,309077,FPUC expiration,auto_loan_pmts,73.30046372240848,82.6503871665559
Spend (cardcash),ui,0.001,0,309077,FPUC expiration,auto_loan_pmts,73.30046372240848,82.6503871665559
Spend (total),income,0.305,0.017,249652,$300 onset,auto_loan_pmts,79.36014637848393,81.41485714285714
Spend (total),ui,0.457,0.026,249652,$300 onset,auto_loan_pmts,79.36014637848393,81.41485714285714
Spend (cardcash),income,0.002,0.001,249652,$300 onset,auto_loan_pmts,79.36014637848393,81.41485714285714
Spend (cardcash),ui,0.003,0.001,249652,$300 onset,auto_loan_pmts,79.36014637848393,81.41485714285714
Spend (total),income,0.269,0.016,129293,$300 expiration Sept states,auto_loan_pmts,80.037741110347,94.67901172529314
Spend (total),ui,0.357,0.022,129293,$300 expiration Sept states,auto_loan_pmts,80.037741110347,94.67901172529314
Spend (cardcash),income,0.003,0.001,129293,$300 expiration Sept states,auto_loan_pmts,80.037741110347,94.67901172529314
Spend (cardcash),ui,0.004,0.001,129293,$300 expiration Sept states,auto_loan_pmts,80.037741110347,94.67901172529314
Spend (total),income,0.348,0.028,121994,$300 expiration June states,auto_loan_pmts,76.84760273213917,107.71956758901119
Spend (total),ui,0.317,0.027,121994,$300 expiration June states,auto_loan_pmts,76.84760273213917,107.71956758901119
Spend (cardcash),income,0.005,0.001,121994,$300 expiration June states,auto_loan_pmts,76.84760273213917,107.71956758901119
Spend (cardcash),ui,0.005,0.001,121994,$300 expiration June states,auto_loan_pmts,76.84760273213917,107.71956758901119
Spend (total),income,0.402,0.04,47623,$300 expiration June vs. Sept states,auto_loan_pmts,80.08052112117048,107.71956758901119
Spend (total),ui,0.224,0.023,47623,$300 expiration June vs. Sept states,auto_loan_pmts,80.08052112117048,107.71956758901119
Spend (cardcash),income,0.005,0.002,47623,$300 expiration June vs. Sept states,auto_loan_pmts,80.08052112117048,107.71956758901119
Spend (cardcash),ui,0.003,0.001,47623,$300 expiration June vs. Sept states,auto_loan_pmts,80.08052112117048,107.71956758901119
Spend (total),income,0.43,0.016,52094,UI onset (waiting),debt_payments,604.7168265013642,792.2278363508112
Spend (total),ui,0.312,0.012,52094,UI onset (waiting),debt_payments,604.7168265013642,792.2278363508112
Spend (cardcash),income,0.043,0.005,52094,UI onset (waiting),debt_payments,604.7168265013642,792.2278363508112
Spend (cardcash),ui,0.031,0.004,52094,UI onset (waiting),debt_payments,604.7168265013642,792.2278363508112
Spend (total),income,0.319,0.009,309077,FPUC expiration,debt_payments,788.2542910678909,797.2457424710374
Spend (total),ui,0.225,0.006,309077,FPUC expiration,debt_payments,788.2542910678909,797.2457424710374
Spend (cardcash),income,0.044,0.003,309077,FPUC expiration,debt_payments,788.2542910678909,797.2457424710374
Spend (cardcash),ui,0.031,0.002,309077,FPUC expiration,debt_payments,788.2542910678909,797.2457424710374
Spend (total),income,0.305,0.017,249652,$300 onset,debt_payments,873.1336533234175,798.4940965705871
Spend (total),ui,0.457,0.026,249652,$300 onset,debt_payments,873.1336533234175,798.4940965705871
Spend (cardcash),income,0.019,0.005,249652,$300 onset,debt_payments,873.1336533234175,798.4940965705871
Spend (cardcash),ui,0.028,0.008,249652,$300 onset,debt_payments,873.1336533234175,798.4940965705871
Spend (total),income,0.269,0.016,129293,$300 expiration Sept states,debt_payments,966.4249659969038,943.7498528876266
Spend (total),ui,0.357,0.022,129293,$300 expiration Sept states,debt_payments,966.4249659969038,943.7498528876266
Spend (cardcash),income,0.032,0.005,129293,$300 expiration Sept states,debt_payments,966.4249659969038,943.7498528876266
Spend (cardcash),ui,0.042,0.007,129293,$300 expiration Sept states,debt_payments,966.4249659969038,943.7498528876266
Spend (total),income,0.348,0.028,121994,$300 expiration June states,debt_payments,879.571671286769,855.7189199642962
Spend (total),ui,0.317,0.027,121994,$300 expiration June states,debt_payments,879.571671286769,855.7189199642962
Spend (cardcash),income,0.044,0.008,121994,$300 expiration June states,debt_payments,879.571671286769,855.7189199642962
Spend (cardcash),ui,0.04,0.008,121994,$300 expiration June states,debt_payments,879.571671286769,855.7189199642962
Spend (total),income,0.402,0.04,47623,$300 expiration June vs. Sept states,debt_payments,839.5056312736823,855.7189199642962
Spend (total),ui,0.224,0.023,47623,$300 expiration June vs. Sept states,debt_payments,839.5056312736823,855.7189199642962
Spend (cardcash),income,0.036,0.012,47623,$300 expiration June vs. Sept states,debt_payments,839.5056312736823,855.7189199642962
Spend (cardcash),ui,0.02,0.007,47623,$300 expiration June vs. Sept states,debt_payments,839.5056312736823,855.7189199642962
Spend (total),income,0.43,0.016,52094,UI onset (waiting),total_categorized_spending_post_winsor,1379.1823170620012,1829.2172311779918
Spend (total),ui,0.312,0.012,52094,UI onset (waiting),total_categorized_spending_post_winsor,1379.1823170620012,1829.2172311779918
Spend (cardcash),income,0.175,0.006,52094,UI onset (waiting),total_categorized_spending_post_winsor,1379.1823170620012,1829.2172311779918
Spend (cardcash),ui,0.128,0.004,52094,UI onset (waiting),total_categorized_spending_post_winsor,1379.1823170620012,1829.2172311779918
Spend (total),income,0.319,0.009,309077,FPUC expiration,total_categorized_spending_post_winsor,1746.0816475565364,1763.2882455464767
Spend (total),ui,0.225,0.006,309077,FPUC expiration,total_categorized_spending_post_winsor,1746.0816475565364,1763.2882455464767
Spend (cardcash),income,0.106,0.003,309077,FPUC expiration,total_categorized_spending_post_winsor,1746.0816475565364,1763.2882455464767
Spend (cardcash),ui,0.075,0.002,309077,FPUC expiration,total_categorized_spending_post_winsor,1746.0816475565364,1763.2882455464767
Spend (total),income,0.305,0.017,249652,$300 onset,total_categorized_spending_post_winsor,1779.420693071444,1540.3098671681043
Spend (total),ui,0.457,0.026,249652,$300 onset,total_categorized_spending_post_winsor,1779.420693071444,1540.3098671681043
Spend (cardcash),income,0.11,0.005,249652,$300 onset,total_categorized_spending_post_winsor,1779.420693071444,1540.3098671681043
Spend (cardcash),ui,0.165,0.008,249652,$300 onset,total_categorized_spending_post_winsor,1779.420693071444,1540.3098671681043
Spend (total),income,0.269,0.016,129293,$300 expiration Sept states,total_categorized_spending_post_winsor,2039.8209460732705,1687.740231010123
Spend (total),ui,0.357,0.022,129293,$300 expiration Sept states,total_categorized_spending_post_winsor,2039.8209460732705,1687.740231010123
Spend (cardcash),income,0.111,0.006,129293,$300 expiration Sept states,total_categorized_spending_post_winsor,2039.8209460732705,1687.740231010123
Spend (cardcash),ui,0.147,0.007,129293,$300 expiration Sept states,total_categorized_spending_post_winsor,2039.8209460732705,1687.740231010123
Spend (total),income,0.348,0.028,121994,$300 expiration June states,total_categorized_spending_post_winsor,2014.527769805501,1908.880147575126
Spend (total),ui,0.317,0.027,121994,$300 expiration June states,total_categorized_spending_post_winsor,2014.527769805501,1908.880147575126
Spend (cardcash),income,0.121,0.01,121994,$300 expiration June states,total_categorized_spending_post_winsor,2014.527769805501,1908.880147575126
Spend (cardcash),ui,0.11,0.009,121994,$300 expiration June states,total_categorized_spending_post_winsor,2014.527769805501,1908.880147575126
Spend (total),income,0.402,0.04,47623,$300 expiration June vs. Sept states,total_categorized_spending_post_winsor,2104.5734804125836,1908.880147575126
Spend (total),ui,0.224,0.023,47623,$300 expiration June vs. Sept states,total_categorized_spending_post_winsor,2104.5734804125836,1908.880147575126
Spend (cardcash),income,0.146,0.015,47623,$300 expiration June vs. Sept states,total_categorized_spending_post_winsor,2104.5734804125836,1908.880147575126
Spend (cardcash),ui,0.082,0.008,47623,$300 expiration June vs. Sept states,total_categorized_spending_post_winsor,2104.5734804125836,1908.880147575126
Spend (total),income,0.43,0.016,52094,UI onset (waiting),uncatergorized_spend_cardcash,172.6916724453,279.91608088408185
Spend (total),ui,0.312,0.012,52094,UI onset (waiting),uncatergorized_spend_cardcash,172.6916724453,279.91608088408185
Spend (cardcash),income,0.024,0.002,52094,UI onset (waiting),uncatergorized_spend_cardcash,172.6916724453,279.91608088408185
Spend (cardcash),ui,0.017,0.001,52094,UI onset (waiting),uncatergorized_spend_cardcash,172.6916724453,279.91608088408185
Spend (total),income,0.319,0.009,309077,FPUC expiration,uncatergorized_spend_cardcash,215.73295518492114,272.1683485150579
Spend (total),ui,0.225,0.006,309077,FPUC expiration,uncatergorized_spend_cardcash,215.73295518492114,272.1683485150579
Spend (cardcash),income,0.01,0.001,309077,FPUC expiration,uncatergorized_spend_cardcash,215.73295518492114,272.1683485150579
Spend (cardcash),ui,0.007,0.001,309077,FPUC expiration,uncatergorized_spend_cardcash,215.73295518492114,272.1683485150579
Spend (total),income,0.305,0.017,249652,$300 onset,uncatergorized_spend_cardcash,223.89678976668804,219.06343277929727
Spend (total),ui,0.457,0.026,249652,$300 onset,uncatergorized_spend_cardcash,223.89678976668804,219.06343277929727
Spend (cardcash),income,0.011,0.002,249652,$300 onset,uncatergorized_spend_cardcash,223.89678976668804,219.06343277929727
Spend (cardcash),ui,0.016,0.002,249652,$300 onset,uncatergorized_spend_cardcash,223.89678976668804,219.06343277929727
Spend (total),income,0.269,0.016,129293,$300 expiration Sept states,uncatergorized_spend_cardcash,292.8899693919215,245.19697181559974
Spend (total),ui,0.357,0.022,129293,$300 expiration Sept states,uncatergorized_spend_cardcash,292.8899693919215,245.19697181559974
Spend (cardcash),income,0.018,0.002,129293,$300 expiration Sept states,uncatergorized_spend_cardcash,292.8899693919215,245.19697181559974
Spend (cardcash),ui,0.024,0.002,129293,$300 expiration Sept states,uncatergorized_spend_cardcash,292.8899693919215,245.19697181559974
Spend (total),income,0.348,0.028,121994,$300 expiration June states,uncatergorized_spend_cardcash,294.3183529900157,306.64057919270056
Spend (total),ui,0.317,0.027,121994,$300 expiration June states,uncatergorized_spend_cardcash,294.3183529900157,306.64057919270056
Spend (cardcash),income,0.02,0.003,121994,$300 expiration June states,uncatergorized_spend_cardcash,294.3183529900157,306.64057919270056
Spend (cardcash),ui,0.018,0.003,121994,$300 expiration June states,uncatergorized_spend_cardcash,294.3183529900157,306.64057919270056
Spend (total),income,0.402,0.04,47623,$300 expiration June vs. Sept states,uncatergorized_spend_cardcash,297.25924855503484,306.64057919270056
Spend (total),ui,0.224,0.023,47623,$300 expiration June vs. Sept states,uncatergorized_spend_cardcash,297.25924855503484,306.64057919270056
Spend (cardcash),income,0.034,0.005,47623,$300 expiration June vs. Sept states,uncatergorized_spend_cardcash,297.25924855503484,306.64057919270056
Spend (cardcash),ui,0.019,0.002,47623,$300 expiration June vs. Sept states,uncatergorized_spend_cardcash,297.25924855503484,306.64057919270056
Spend (total),income,0.43,0.016,52094,UI onset (waiting),uncatergorized_spend,1614.4072984601382,1973.1202539383967
Spend (total),ui,0.312,0.012,52094,UI onset (waiting),uncatergorized_spend,1614.4072984601382,1973.1202539383967
Spend (cardcash),income,0.123,0.01,52094,UI onset (waiting),uncatergorized_spend,1614.4072984601382,1973.1202539383967
Spend (cardcash),ui,0.089,0.007,52094,UI onset (waiting),uncatergorized_spend,1614.4072984601382,1973.1202539383967
Spend (total),income,0.319,0.009,309077,FPUC expiration,uncatergorized_spend,2053.322457076493,1962.1292487326843
Spend (total),ui,0.225,0.006,309077,FPUC expiration,uncatergorized_spend,2053.322457076493,1962.1292487326843
Spend (cardcash),income,0.097,0.006,309077,FPUC expiration,uncatergorized_spend,2053.322457076493,1962.1292487326843
Spend (cardcash),ui,0.068,0.004,309077,FPUC expiration,uncatergorized_spend,2053.322457076493,1962.1292487326843
Spend (total),income,0.305,0.017,249652,$300 onset,uncatergorized_spend,2236.2353530232726,1913.0675102040818
Spend (total),ui,0.457,0.026,249652,$300 onset,uncatergorized_spend,2236.2353530232726,1913.0675102040818
Spend (cardcash),income,0.093,0.011,249652,$300 onset,uncatergorized_spend,2236.2353530232726,1913.0675102040818
Spend (cardcash),ui,0.139,0.017,249652,$300 onset,uncatergorized_spend,2236.2353530232726,1913.0675102040818
Spend (total),income,0.269,0.016,129293,$300 expiration Sept states,uncatergorized_spend,2457.3082661716176,2172.7897909839053
Spend (total),ui,0.357,0.022,129293,$300 expiration Sept states,uncatergorized_spend,2457.3082661716176,2172.7897909839053
Spend (cardcash),income,0.068,0.01,129293,$300 expiration Sept states,uncatergorized_spend,2457.3082661716176,2172.7897909839053
Spend (cardcash),ui,0.09,0.014,129293,$300 expiration Sept states,uncatergorized_spend,2457.3082661716176,2172.7897909839053
Spend (total),income,0.348,0.028,121994,$300 expiration June states,uncatergorized_spend,2335.7919830876144,1908.7252742239414
Spend (total),ui,0.317,0.027,121994,$300 expiration June states,uncatergorized_spend,2335.7919830876144,1908.7252742239414
Spend (cardcash),income,0.139,0.018,121994,$300 expiration June states,uncatergorized_spend,2335.7919830876144,1908.7252742239414
Spend (cardcash),ui,0.126,0.017,121994,$300 expiration June states,uncatergorized_spend,2335.7919830876144,1908.7252742239414
Spend (total),income,0.402,0.04,47623,$300 expiration June vs. Sept states,uncatergorized_spend,2362.6732569813644,1908.7252742239414
Spend (total),ui,0.224,0.023,47623,$300 expiration June vs. Sept states,uncatergorized_spend,2362.6732569813644,1908.7252742239414
Spend (cardcash),income,0.157,0.025,47623,$300 expiration June vs. Sept states,uncatergorized_spend,2362.6732569813644,1908.7252742239414
Spend (cardcash),ui,0.088,0.014,47623,$300 expiration June vs. Sept states,uncatergorized_spend,2362.6732569813644,1908.7252742239414
