design,apc,apc_total,apc share of total apc,spending_category,denominator,se,n_obs,spend_category_unemp,spend_category_emp
$300 onset,0.002,0.11,0.01818181818181818,Department_Stores,income,0.001,249652,15.196795390490601,15.887321165579598
$300 onset,0.002,0.11,0.01818181818181818,Healthcare,income,0.001,249652,49.19945747014784,40.98944456132969
$300 onset,0.002,0.11,0.01818181818181818,Utilities,income,0.001,249652,175.82890432230096,159.21039719124744
$300 onset,0.002,0.11,0.01818181818181818,auto_loan_pmts,income,0.001,249652,79.36014637848393,81.41485714285714
$300 onset,0.001,0.11,0.00909090909090909,Insurance,income,0.001,249652,48.41214210507367,46.523784136334946
$300 onset,0.001,0.11,0.00909090909090909,Auto_Repair,income,0.001,249652,47.708846560427,31.3682026088786
$300 onset,0,0.11,0,Hotels_&_Rental_cars,income,0.002,249652,46.457907472776235,52.53747380601725
$300 onset,-0,0.11,-0,Transit_&_Ground_Transportation,income,0.001,249652,110.97297685116474,128.09473974332002
$300 onset,0,0.11,0,Flights,income,0.001,249652,7.039679215964418,23.99421182411108
$300 onset,-0,0.11,-0,other_loan_pmts,income,0,249652,1.049867632922982,0.1452341678939617
$300 onset,-0.001,0.11,-0.00909090909090909,schools,income,0.001,249652,13.554323052586193,12.603132021880917
$300 onset,-0.001,0.11,-0.00909090909090909,student_loan_pmts,income,0,249652,17.643736075140946,25.578300021039347
$300 onset,-0.003,0.11,-0.027272727272727275,mortgage_pmts,income,0.003,249652,304.28473378566014,257.4360399747528
$300 expiration Sept states,0.269,0.111,2.4234234234234235,total_spend,income,0.016,129293,5264.908413283016,4620.736636078946
$300 expiration Sept states,0.213,0.111,1.9189189189189189,total_spend_cardcash,income,0.01,129293,2978.4406121786037,2618.203229189425
$300 expiration Sept states,0.111,0.111,1,total_categorized_spending_post_winsor,income,0.006,129293,2039.8209460732705,1687.740231010123
$300 expiration Sept states,0.108,0.111,0.9729729729729729,sum of apcs,NA,NA,NA,NA,NA
$300 expiration Sept states,0.068,0.111,0.6126126126126127,uncatergorized_spend,income,0.01,129293,2457.3082661716176,2172.7897909839053
$300 expiration Sept states,0.032,0.111,0.2882882882882883,debt_payments,income,0.005,129293,966.4249659969038,943.7498528876266
$300 expiration Sept states,0.031,0.111,0.27927927927927926,on_us_creditcard_pmts,income,0.005,129293,672.5430324621738,462.9603109751657
$300 expiration Sept states,0.019,0.111,0.17117117117117117,Restaurant,income,0.001,129293,283.33341607939,229.09004151190734
$300 expiration Sept states,0.018,0.111,0.16216216216216214,off_us_creditcard_pmts,income,0.004,129293,512.6833477816256,502.47351248998615
$300 expiration Sept states,0.018,0.111,0.16216216216216214,uncatergorized_spend_cardcash,income,0.002,129293,292.8899693919215,245.19697181559974
$300 expiration Sept states,0.015,0.111,0.13513513513513511,Groceries,income,0.001,129293,326.6780401542988,257.6513327507101
$300 expiration Sept states,0.015,0.111,0.13513513513513511,Other_Retail,income,0.001,129293,204.28789305900446,141.12016022139684
$300 expiration Sept states,0.01,0.111,0.09009009009009009,mortgage_pmts,income,0.003,129293,352.4375140333633,322.8418796882965
$300 expiration Sept states,0.007,0.111,0.06306306306306306,Discount_Stores,income,0.001,129293,100.12532853440966,73.69636734396622
$300 expiration Sept states,0.006,0.111,0.05405405405405406,Home_Improvement,income,0.001,129293,81.94643447474974,47.44941446362246
$300 expiration Sept states,0.006,0.111,0.05405405405405406,Professional_&_Personal_Services,income,0.001,129293,99.04838335786023,89.68806132109825
$300 expiration Sept states,0.005,0.111,0.04504504504504504,Hotels_&_Rental_cars,income,0.002,129293,77.14563139929544,54.75640448619911
$300 expiration Sept states,0.005,0.111,0.04504504504504504,Utilities,income,0.001,129293,183.87375473530827,166.69171975821112
$300 expiration Sept states,0.005,0.111,0.04504504504504504,Transit_&_Ground_Transportation,income,0.001,129293,166.67242856955988,150.88689461801764
$300 expiration Sept states,0.005,0.111,0.04504504504504504,Clothing,income,0.001,129293,61.8117121021357,65.53362901463841
$300 expiration Sept states,0.004,0.111,0.036036036036036036,Entertainment,income,0.001,129293,60.77581381534127,55.17123443303473
$300 expiration Sept states,0.003,0.111,0.02702702702702703,Organizations_&_Institutions,income,0.001,129293,47.81780394962124,41.98346515184618
$300 expiration Sept states,0.003,0.111,0.02702702702702703,Healthcare,income,0.001,129293,54.22106811066778,42.347954992353074
$300 expiration Sept states,0.003,0.111,0.02702702702702703,auto_loan_pmts,income,0.001,129293,80.037741110347,94.67901172529314
$300 expiration Sept states,0.002,0.111,0.018018018018018018,Auto_Repair,income,0.001,129293,50.13878539383095,38.315971160148564
$300 expiration Sept states,0.002,0.111,0.018018018018018018,Telecom,income,0.001,129293,117.58974120034598,109.81717646202026
$300 expiration Sept states,0.002,0.111,0.018018018018018018,Flights,income,0.001,129293,19.644639564532913,19.1198658509941
$300 expiration Sept states,0.001,0.111,0.009009009009009009,Insurance,income,0.001,129293,50.2686558014887,47.83628577670964
$300 expiration Sept states,0.001,0.111,0.009009009009009009,schools,income,0.001,129293,9.659598061214796,9.848727696453281
$300 expiration Sept states,0.001,0.111,0.009009009009009009,Drug_Stores,income,0,129293,25.124724064215773,29.05366251547593
$300 expiration Sept states,0.001,0.111,0.009009009009009009,Department_Stores,income,0,129293,19.65709364599887,17.681861481319608
$300 expiration Sept states,-0,0.111,-0,student_loan_pmts,income,0,129293,14.674884750999263,28.761193649406454
$300 expiration Sept states,-0,0.111,-0,other_loan_pmts,income,0,129293,1.2097670256341804,1.2107005680576788
$300 expiration June vs. Sept states,0.402,0.146,2.753424657534247,total_spend,income,0.04,47623,5401.592693402849,4575.9751919071705
$300 expiration June vs. Sept states,0.292,0.146,2,total_spend_cardcash,income,0.027,47623,3216.263293114828,2898.721189130219
$300 expiration June vs. Sept states,0.157,0.146,1.0753424657534247,uncatergorized_spend,income,0.025,47623,2362.6732569813644,1908.7252742239414
$300 expiration June vs. Sept states,0.146,0.146,1,sum of apcs,NA,NA,NA,NA,NA
$300 expiration June vs. Sept states,0.146,0.146,1,total_categorized_spending_post_winsor,income,0.015,47623,2104.5734804125836,1908.880147575126
$300 expiration June vs. Sept states,0.036,0.146,0.2465753424657534,debt_payments,income,0.012,47623,839.5056312736823,855.7189199642962
$300 expiration June vs. Sept states,0.034,0.146,0.23287671232876717,uncatergorized_spend_cardcash,income,0.005,47623,297.25924855503484,306.64057919270056
$300 expiration June vs. Sept states,0.032,0.146,0.21917808219178084,Restaurant,income,0.003,47623,294.7748403860309,246.05450461172273
$300 expiration June vs. Sept states,0.018,0.146,0.1232876712328767,Hotels_&_Rental_cars,income,0.005,47623,70.98512620641624,61.32856292770009
$300 expiration June vs. Sept states,0.018,0.146,0.1232876712328767,off_us_creditcard_pmts,income,0.01,47623,523.5934584837445,419.4759466428642
$300 expiration June vs. Sept states,0.015,0.146,0.10273972602739727,Other_Retail,income,0.004,47623,238.5991247310972,135.45604581969653
$300 expiration June vs. Sept states,0.012,0.146,0.08219178082191782,Entertainment,income,0.001,47623,69.56322791653344,49.608205891103836
$300 expiration June vs. Sept states,0.011,0.146,0.07534246575342465,Professional_&_Personal_Services,income,0.003,47623,110.70275561396582,104.87545869284935
$300 expiration June vs. Sept states,0.009,0.146,0.06164383561643835,Groceries,income,0.003,47623,307.4033385790228,334.9115531091937
$300 expiration June vs. Sept states,0.009,0.146,0.06164383561643835,mortgage_pmts,income,0.005,47623,218.6887815981103,303.67551819894874
$300 expiration June vs. Sept states,0.007,0.146,0.04794520547945206,Home_Improvement,income,0.003,47623,77.59200542074804,64.57635029257165
$300 expiration June vs. Sept states,0.007,0.146,0.04794520547945206,Healthcare,income,0.002,47623,59.15156706999666,52.450797381731626
$300 expiration June vs. Sept states,0.006,0.146,0.04109589041095891,Discount_Stores,income,0.002,47623,103.97553178178102,73.36744024595855
$300 expiration June vs. Sept states,0.006,0.146,0.04109589041095891,Flights,income,0.002,47623,17.69228381447697,19.396937816126147
$300 expiration June vs. Sept states,0.006,0.146,0.04109589041095891,on_us_creditcard_pmts,income,0.011,47623,494.51023357106067,395.8055350590102
$300 expiration June vs. Sept states,0.005,0.146,0.03424657534246576,Transit_&_Ground_Transportation,income,0.002,47623,156.5876975391857,170.18184964792226
$300 expiration June vs. Sept states,0.005,0.146,0.03424657534246576,auto_loan_pmts,income,0.002,47623,80.08052112117048,107.71956758901119
$300 expiration June vs. Sept states,0.004,0.146,0.027397260273972605,Insurance,income,0.002,47623,54.56833553766712,62.38929584449073
$300 expiration June vs. Sept states,0.004,0.146,0.027397260273972605,schools,income,0.002,47623,11.78802175438906,7.210357532480412
$300 expiration June vs. Sept states,0.004,0.146,0.027397260273972605,Clothing,income,0.002,47623,88.36022582464439,60.524397500743824
$300 expiration June vs. Sept states,0.002,0.146,0.013698630136986302,Telecom,income,0.001,47623,118.90047546396957,126.45429534860656
$300 expiration June vs. Sept states,0.001,0.146,0.006849315068493151,Organizations_&_Institutions,income,0.002,47623,51.75811446368645,44.76195874243777
$300 expiration June vs. Sept states,0.001,0.146,0.006849315068493151,Drug_Stores,income,0.001,47623,31.221530976175615,26.463373004066252
$300 expiration June vs. Sept states,0.001,0.146,0.006849315068493151,Department_Stores,income,0.001,47623,23.71454276770664,17.879956808489506
$300 expiration June vs. Sept states,0.001,0.146,0.006849315068493151,Utilities,income,0.002,47623,171.6988124786978,195.50953133987878
$300 expiration June vs. Sept states,0,0.146,0,Auto_Repair,income,0.003,47623,45.53592208639207,55.479275017355945
