state_abb,month,all_first_payments
MT,2021-01-01,3686
MT,2021-02-01,2634
MT,2021-03-01,2000
MT,2021-04-01,2429
MT,2021-05-01,1608
MT,2021-06-01,1303
MT,2021-07-01,958
MT,2021-08-01,690
MT,2021-09-01,419
NC,2020-01-01,7005
NC,2020-02-01,5959
NC,2020-03-01,20117
NC,2020-04-01,374505
NC,2020-05-01,238631
NC,2020-06-01,122965
NC,2020-07-01,76195
NC,2020-08-01,41708
NC,2020-09-01,25877
NC,2020-10-01,17455
NC,2020-11-01,22345
NC,2020-12-01,33777
NC,2021-01-01,26338
NC,2021-02-01,14730
NC,2021-03-01,12251
NC,2021-04-01,10173
NC,2021-05-01,12875
NC,2021-06-01,9165
NC,2021-07-01,7932
NC,2021-08-01,7489
NC,2021-09-01,12760
ND,2020-01-01,3566
ND,2020-02-01,1715
ND,2020-03-01,3683
ND,2020-04-01,38284
ND,2020-05-01,15350
ND,2020-06-01,8441
ND,2020-07-01,4054
ND,2020-08-01,1855
ND,2020-09-01,1627
ND,2020-10-01,1845
ND,2020-11-01,3108
ND,2020-12-01,3914
ND,2021-01-01,4541
ND,2021-02-01,3708
ND,2021-03-01,2422
ND,2021-04-01,2215
ND,2021-05-01,1095
ND,2021-06-01,1071
ND,2021-07-01,1156
ND,2021-08-01,611
ND,2021-09-01,291
NE,2020-01-01,3277
NE,2020-02-01,1935
NE,2020-03-01,3948
NE,2020-04-01,32488
NE,2020-05-01,34658
NE,2020-06-01,13805
NE,2020-07-01,4469
NE,2020-08-01,2835
NE,2020-09-01,2508
NE,2020-10-01,1932
NE,2020-11-01,1815
NE,2020-12-01,2786
NE,2021-01-01,3298
NE,2021-02-01,2480
NE,2021-03-01,1825
NE,2021-04-01,2571
NE,2021-05-01,3328
NE,2021-06-01,2041
NE,2021-07-01,1487
NE,2021-08-01,1105
NE,2021-09-01,763
NH,2020-01-01,1536
NH,2020-02-01,957
NH,2020-03-01,13818
NH,2020-04-01,58369
NH,2020-05-01,31055
NH,2020-06-01,45527
NH,2020-07-01,68462
NH,2020-08-01,7512
NH,2020-09-01,4249
NH,2020-10-01,2748
NH,2020-11-01,3002
NH,2020-12-01,5699
NH,2021-01-01,4730
NH,2021-02-01,2888
NH,2021-03-01,2261
NH,2021-04-01,4106
NH,2021-05-01,1867
NH,2021-06-01,1052
NH,2021-07-01,1229
NH,2021-08-01,1004
NH,2021-09-01,833
NJ,2020-01-01,36516
NJ,2020-02-01,22452
NJ,2020-03-01,91705
NJ,2020-04-01,321039
NJ,2020-05-01,346647
NJ,2020-06-01,172088
NJ,2020-07-01,122247
NJ,2020-08-01,78087
NJ,2020-09-01,61994
NJ,2020-10-01,45245
NJ,2020-11-01,24571
NJ,2020-12-01,29517
NJ,2021-01-01,33782
NJ,2021-02-01,27128
NJ,2021-03-01,36941
NJ,2021-04-01,48953
NJ,2021-05-01,32677
NJ,2021-06-01,24274
NJ,2021-07-01,30727
NJ,2021-08-01,14248
NM,2020-01-01,2542
NM,2020-02-01,1928
NM,2020-03-01,8098
NM,2020-04-01,72444
NM,2020-05-01,47307
NM,2020-06-01,21999
NM,2020-07-01,21005
NM,2020-08-01,12927
NM,2020-09-01,8153
NM,2020-10-01,6467
NM,2020-11-01,7576
NM,2020-12-01,11005
NM,2021-01-01,7245
NM,2021-02-01,5819
NM,2021-03-01,6027
NM,2021-04-01,9554
NM,2021-05-01,5539
NM,2021-06-01,5212
NM,2021-07-01,9354
NM,2021-08-01,2659
NM,2021-09-01,2951
NV,2020-01-01,5273
NV,2020-02-01,4782
NV,2020-03-01,63210
NV,2020-04-01,171873
NV,2020-05-01,85959
NV,2020-06-01,135317
NV,2020-07-01,54132
NV,2020-08-01,24332
NV,2020-09-01,15077
NV,2020-10-01,15149
NV,2020-11-01,9499
NV,2020-12-01,12455
NV,2021-01-01,21923
NV,2021-02-01,13915
NV,2021-03-01,28420
NV,2021-04-01,55487
NV,2021-05-01,20549
NV,2021-06-01,11767
NV,2021-07-01,9427
NV,2021-08-01,8586
NV,2021-09-01,7141
NY,2020-01-01,47398
NY,2020-02-01,39774
NY,2020-03-01,226564
NY,2020-04-01,894221
NY,2020-05-01,989120
NY,2020-06-01,579301
NY,2020-07-01,375628
NY,2020-08-01,210347
NY,2020-09-01,171182
NY,2020-10-01,113028
NY,2020-11-01,101094
NY,2020-12-01,108484
NY,2021-01-01,158263
NY,2021-02-01,168349
NY,2021-03-01,295460
NY,2021-04-01,221526
NY,2021-05-01,55115
NY,2021-06-01,50579
NY,2021-07-01,44794
NY,2021-08-01,35207
NY,2021-09-01,38918
OH,2020-01-01,27555
OH,2020-02-01,15768
OH,2020-03-01,111291
OH,2020-04-01,392753
OH,2020-05-01,311295
OH,2020-06-01,274566
OH,2020-07-01,183505
OH,2020-08-01,62888
OH,2020-09-01,46331
OH,2020-10-01,67181
OH,2020-11-01,57447
OH,2020-12-01,96338
OH,2021-01-01,37116
OH,2021-02-01,156973
OH,2021-03-01,44923
OH,2021-04-01,19368
OH,2021-05-01,25591
OH,2021-06-01,18513
OH,2021-07-01,9233
OH,2021-08-01,9527
OH,2021-09-01,6442
OK,2020-01-01,4225
OK,2020-02-01,3361
OK,2020-03-01,21296
OK,2020-04-01,113700
OK,2020-05-01,95675
OK,2020-06-01,74919
OK,2020-07-01,21325
OK,2020-08-01,11583
OK,2020-09-01,8414
OK,2020-10-01,7711
OK,2020-11-01,6363
OK,2020-12-01,6853
OK,2021-01-01,8031
OK,2021-02-01,13465
OK,2021-03-01,20617
OK,2021-04-01,23769
OK,2021-05-01,17307
OK,2021-06-01,16650
OK,2021-07-01,5857
OK,2021-08-01,4481
OK,2021-09-01,2864
OR,2020-01-01,10974
OR,2020-02-01,6972
OR,2020-03-01,21161
OR,2020-04-01,139482
OR,2020-05-01,73744
OR,2020-06-01,50052
OR,2020-07-01,49829
OR,2020-08-01,37837
OR,2020-09-01,35282
OR,2020-10-01,23471
OR,2020-11-01,40476
OR,2020-12-01,35095
OR,2021-01-01,24597
OR,2021-02-01,18142
OR,2021-03-01,20486
OR,2021-04-01,17253
OR,2021-05-01,15165
OR,2021-06-01,12995
OR,2021-07-01,10579
OR,2021-08-01,9958
OR,2021-09-01,12161
PA,2020-01-01,55207
PA,2020-02-01,30796
PA,2020-03-01,21244
PA,2020-04-01,669016
PA,2020-05-01,451887
PA,2020-06-01,506226
PA,2020-07-01,448454
PA,2020-08-01,136876
PA,2020-09-01,71103
PA,2020-10-01,50187
PA,2020-11-01,41615
PA,2020-12-01,65324
PA,2021-01-01,61190
PA,2021-02-01,52112
PA,2021-03-01,46067
PA,2021-04-01,51457
PA,2021-05-01,79060
PA,2021-06-01,52799
PA,2021-07-01,105288
PA,2021-08-01,62837
PA,2021-09-01,32905
RI,2020-01-01,4959
RI,2020-02-01,2726
RI,2020-03-01,30617
RI,2020-04-01,83098
RI,2020-05-01,30787
RI,2020-06-01,19574
RI,2020-07-01,34803
RI,2020-08-01,37092
RI,2020-09-01,7257
RI,2020-10-01,4406
RI,2020-11-01,6554
RI,2020-12-01,9983
RI,2021-01-01,14818
RI,2021-02-01,12699
RI,2021-03-01,9704
RI,2021-04-01,12911
RI,2021-05-01,13371
RI,2021-06-01,11636
RI,2021-07-01,4623
RI,2021-08-01,4154
RI,2021-09-01,1537
SC,2020-01-01,7776
SC,2020-02-01,3633
SC,2020-03-01,4413
SC,2020-04-01,223569
SC,2020-05-01,111796
SC,2020-06-01,48935
SC,2020-07-01,33387
SC,2020-08-01,17415
SC,2020-09-01,8673
SC,2020-10-01,7371
SC,2020-11-01,7136
SC,2020-12-01,15826
SC,2021-01-01,11063
SC,2021-02-01,7999
SC,2021-03-01,8453
SC,2021-04-01,8630
SC,2021-05-01,8253
SC,2021-06-01,5608
SC,2021-07-01,5742
SC,2021-08-01,3912
SC,2021-09-01,3859
SD,2020-01-01,1297
SD,2020-02-01,647
SD,2020-03-01,808
SD,2020-04-01,17827
SD,2020-05-01,8013
SD,2020-06-01,5001
SD,2020-07-01,3909
SD,2020-08-01,2894
SD,2020-09-01,1573
SD,2020-10-01,1673
SD,2020-11-01,766
SD,2020-12-01,1935
SD,2021-01-01,1511
SD,2021-02-01,1054
SD,2021-03-01,819
SD,2021-04-01,712
SD,2021-05-01,591
SD,2021-06-01,389
SD,2021-07-01,448
SD,2021-08-01,266
SD,2021-09-01,153
TN,2020-01-01,7807
TN,2020-02-01,5040
TN,2020-03-01,25174
TN,2020-04-01,252318
TN,2020-05-01,134349
TN,2020-06-01,52603
TN,2020-07-01,41849
TN,2020-08-01,56070
TN,2020-09-01,16346
TN,2020-10-01,8322
TN,2020-11-01,6244
TN,2020-12-01,9706
TN,2021-01-01,14124
TN,2021-02-01,15606
TN,2021-03-01,12146
TN,2021-04-01,19106
TN,2021-05-01,18727
TN,2021-06-01,15885
TN,2021-07-01,8131
TN,2021-08-01,176848
TN,2021-09-01,3596
TX,2020-01-01,37835
TX,2020-02-01,29723
TX,2020-03-01,72337
TX,2020-04-01,857981
TX,2020-05-01,679814
TX,2020-06-01,348534
TX,2020-07-01,255404
TX,2020-08-01,183977
TX,2020-09-01,126605
TX,2020-10-01,82844
TX,2020-11-01,66187
TX,2020-12-01,58324
TX,2021-01-01,55561
TX,2021-02-01,51948
TX,2021-03-01,54007
TX,2021-04-01,46081
TX,2021-05-01,44402
TX,2021-06-01,45347
TX,2021-07-01,44474
TX,2021-08-01,36148
TX,2021-09-01,25124
UT,2020-01-01,4482
UT,2020-02-01,2835
UT,2020-03-01,6970
UT,2020-04-01,63752
UT,2020-05-01,35819
UT,2020-06-01,17417
UT,2020-07-01,11131
UT,2020-08-01,5260
UT,2020-09-01,3453
UT,2020-10-01,3529
UT,2020-11-01,3568
UT,2020-12-01,5163
UT,2021-01-01,5147
UT,2021-02-01,3731
UT,2021-03-01,3723
UT,2021-04-01,3739
UT,2021-05-01,3261
UT,2021-06-01,2754
UT,2021-07-01,3011
UT,2021-08-01,2580
UT,2021-09-01,1832
VA,2020-01-01,15878
VA,2020-02-01,12416
VA,2020-03-01,111292
VA,2020-04-01,598698
VA,2020-05-01,209112
VA,2020-06-01,113640
VA,2020-07-01,105902
VA,2020-08-01,60773
VA,2020-09-01,47379
VA,2020-10-01,72341
VA,2020-11-01,45112
VA,2020-12-01,140933
VA,2021-01-01,29637
VA,2021-02-01,174832
VA,2021-03-01,76840
VA,2021-04-01,75150
VA,2021-05-01,48850
VA,2021-06-01,41813
VA,2021-07-01,32354
VA,2021-08-01,75095
VA,2021-09-01,48502
VT,2020-01-01,2141
VT,2020-02-01,1240
VT,2020-03-01,4688
VT,2020-04-01,46721
VT,2020-05-01,10539
VT,2020-06-01,4341
VT,2020-07-01,3400
VT,2020-08-01,1755
VT,2020-09-01,1282
VT,2020-10-01,1021
VT,2020-11-01,1263
VT,2020-12-01,2100
VT,2021-01-01,2236
VT,2021-02-01,1871
VT,2021-03-01,2068
VT,2021-04-01,4995
VT,2021-05-01,1763
VT,2021-06-01,1097
VT,2021-07-01,921
VT,2021-08-01,693
VT,2021-09-01,955
WA,2020-01-01,16946
